,Unnamed: 0,time,lat,lon,spei
13444368,52546170,1917-11-16,40.25,105.25,0.5789297
13510769,52805370,1917-12-16,40.25,105.25,1.0692378
13577075,53064570,1918-01-16,40.25,105.25,0.7034109000000001
13643399,53323770,1918-02-15,40.25,105.25,1.0019507
13709691,53582970,1918-03-16,40.25,105.25,0.28094673
13776042,53842170,1918-04-16,40.25,105.25,0.35441595
13842471,54101370,1918-05-16,40.25,105.25,0.15546581
13908892,54360570,1918-06-16,40.25,105.25,0.08358316
13975327,54619770,1918-07-16,40.25,105.25,0.16371162
14041783,54878970,1918-08-16,40.25,105.25,0.10673819
14108217,55138170,1918-09-16,40.25,105.25,-0.03905911
14174650,55397370,1918-10-16,40.25,105.25,0.33748114
14241078,55656570,1918-11-16,40.25,105.25,0.62790304
14307482,55915770,1918-12-16,40.25,105.25,1.0692378
14373791,56174970,1919-01-16,40.25,105.25,0.7034109000000001
14440116,56434170,1919-02-15,40.25,105.25,1.0019507
14506400,56693370,1919-03-16,40.25,105.25,0.39612338
14572751,56952570,1919-04-16,40.25,105.25,0.28913355
14639180,57211770,1919-05-16,40.25,105.25,0.1073479
14705599,57470970,1919-06-16,40.25,105.25,0.09925844
14772031,57730170,1919-07-16,40.25,105.25,0.16371162
14838486,57989370,1919-08-16,40.25,105.25,0.0954188
14904924,58248570,1919-09-16,40.25,105.25,-0.049972296
14971357,58507770,1919-10-16,40.25,105.25,0.33748114
15037785,58766970,1919-11-16,40.25,105.25,0.62790304
15104189,59026170,1919-12-16,40.25,105.25,1.0692378
15170498,59285370,1920-01-16,40.25,105.25,0.60783064
15236823,59544570,1920-02-15,40.25,105.25,1.0019507
15303115,59803770,1920-03-16,40.25,105.25,0.28094673
15369465,60062970,1920-04-16,40.25,105.25,0.31112593
15435894,60322170,1920-05-16,40.25,105.25,0.1395504
15502315,60581370,1920-06-16,40.25,105.25,0.08358316
15568750,60840570,1920-07-16,40.25,105.25,0.15000904
15635206,61099770,1920-08-16,40.25,105.25,0.08406106
15701644,61358970,1920-09-16,40.25,105.25,-0.07194652
15768077,61618170,1920-10-16,40.25,105.25,0.28434354
15834505,61877370,1920-11-16,40.25,105.25,0.52804136
15900909,62136570,1920-12-16,40.25,105.25,1.0692378
15967218,62395770,1921-01-16,40.25,105.25,0.60783064
16033543,62654970,1921-02-15,40.25,105.25,0.32838735
16099835,62914170,1921-03-16,40.25,105.25,0.22099538
16166182,63173370,1921-04-16,40.25,105.25,0.31112593
16232609,63432570,1921-05-16,40.25,105.25,0.1073479
16299031,63691770,1921-06-16,40.25,105.25,0.08358316
16365465,63950970,1921-07-16,40.25,105.25,0.14314061
16431921,64210170,1921-08-16,40.25,105.25,0.1010833
16498357,64469370,1921-09-16,40.25,105.25,-0.07194652
16564790,64728570,1921-10-16,40.25,105.25,0.28434354
16631202,64987770,1921-11-16,40.25,105.25,0.5789297
16697606,65246970,1921-12-16,40.25,105.25,1.0692378
16763915,65506170,1922-01-16,40.25,105.25,0.60783064
16830239,65765370,1922-02-15,40.25,105.25,0.32838735
16896518,66024570,1922-03-16,40.25,105.25,0.28094673
16962869,66283770,1922-04-16,40.25,105.25,0.26690713
17029298,66542970,1922-05-16,40.25,105.25,0.1395504
17095705,66802170,1922-06-16,40.25,105.25,0.0043192543
17162134,67061370,1922-07-16,40.25,105.25,0.15000904
17228587,67320570,1922-08-16,40.25,105.25,0.08974471
17295024,67579770,1922-09-16,40.25,105.25,-0.07194652
17361457,67838970,1922-10-16,40.25,105.25,0.25734848
17427885,68098170,1922-11-16,40.25,105.25,0.47512898
17494289,68357370,1922-12-16,40.25,105.25,0.019844448
17560594,68616570,1923-01-16,40.25,105.25,0.60783064
17626919,68875770,1923-02-15,40.25,105.25,0.32838735
17693210,69134970,1923-03-16,40.25,105.25,0.09625682
17759560,69394170,1923-04-16,40.25,105.25,0.31112593
17825989,69653370,1923-05-16,40.25,105.25,0.123511344
17892399,69912570,1923-06-16,40.25,105.25,0.03619971
17958834,70171770,1923-07-16,40.25,105.25,0.15000904
18025290,70430970,1923-08-16,40.25,105.25,0.08974471
18091714,70690170,1923-09-16,40.25,105.25,-0.07194652
18158147,70949370,1923-10-16,40.25,105.25,0.28434354
18224568,71208570,1923-11-16,40.25,105.25,0.47512898
18290972,71467770,1923-12-16,40.25,105.25,0.019844448
18357281,71726970,1924-01-16,40.25,105.25,0.60783064
18423601,71986170,1924-02-15,40.25,105.25,0.32838735
18489883,72245370,1924-03-16,40.25,105.25,0.28094673
18556233,72504570,1924-04-16,40.25,105.25,0.26690713
18622662,72763770,1924-05-16,40.25,105.25,0.074645
18689039,73022970,1924-06-16,40.25,105.25,0.02028818
